index,threshold,value,highlight_ratio
recall_top5,0.06470950692892001,1.0,preds_labels_comedy_2_5_std
roc_auc_top5,,0.675,preds_labels_comedy_2_5_std
average_precision_top5,,0.24493506493506495,preds_labels_comedy_2_5_std
f1,0.048132970929145,0.18482758620689654,preds_labels_comedy_2_std
accuracy,0.576462149620056,0.9431111111111111,preds_labels_comedy_2_std
precision,0.163474977016448,0.26666666666666666,preds_labels_comedy_2_std
recall,0.002914369339123,1.0,preds_labels_comedy_2_std
kappa,0.048665434122085,0.12048677461530721,preds_labels_comedy_2_std
roc_auc,,0.6006651423820412,preds_labels_comedy_2_std
average_precision,,0.0999118921523962,preds_labels_comedy_2_std
accuracy_top5,0.090113066136837,0.24444444444444444,preds_labels_comedy_2_std
f1_top5,0.090113066136837,0.39285714285714285,preds_labels_comedy_2_std
kappa_top5,0.090113066136837,0.0,preds_labels_comedy_2_std
precision_top5,0.090113066136837,0.24444444444444444,preds_labels_comedy_2_std
recall_top5,0.090113066136837,1.0,preds_labels_comedy_2_std
roc_auc_top5,,0.5053475935828877,preds_labels_comedy_2_std
average_precision_top5,,0.25270557335413213,preds_labels_comedy_2_std
f1,0.010218068957328,0.44976736170946063,preds_labels_comedy_30_perc
accuracy,0.9158644080162041,0.714,preds_labels_comedy_30_perc
precision,0.9891307353973381,1.0,preds_labels_comedy_30_perc
recall,0.007444530725479,1.0,preds_labels_comedy_30_perc
kappa,0.6360484361648561,0.08113042787965385,preds_labels_comedy_30_perc
roc_auc,,0.5199246907584288,preds_labels_comedy_30_perc
average_precision,,0.3356623730409558,preds_labels_comedy_30_perc
accuracy_top5,0.708203554153442,0.6,preds_labels_comedy_30_perc
f1_top5,0.708203554153442,0.75,preds_labels_comedy_30_perc
kappa_top5,0.708203554153442,0.0,preds_labels_comedy_30_perc
precision_top5,0.708203554153442,0.6,preds_labels_comedy_30_perc
recall_top5,0.708203554153442,1.0,preds_labels_comedy_30_perc
roc_auc_top5,,0.6707818930041152,preds_labels_comedy_30_perc
average_precision_top5,,0.7285043754597496,preds_labels_comedy_30_perc
f1,0.070622831583023,0.19444444444444445,preds_labels_comedy_3_perc
accuracy,0.530683517456054,0.9364444444444444,preds_labels_comedy_3_perc
precision,0.22783479094505302,0.375,preds_labels_comedy_3_perc
recall,0.000548043928574,1.0,preds_labels_comedy_3_perc
kappa,0.077664323151111,0.13026867281696308,preds_labels_comedy_3_perc
roc_auc,,0.5982576845435058,preds_labels_comedy_3_perc
average_precision,,0.11304891706387948,preds_labels_comedy_3_perc
accuracy_top5,0.08211417496204301,0.2222222222222222,preds_labels_comedy_3_perc
f1_top5,0.08211417496204301,0.36363636363636365,preds_labels_comedy_3_perc
kappa_top5,0.08211417496204301,0.0,preds_labels_comedy_3_perc
precision_top5,0.08211417496204301,0.2222222222222222,preds_labels_comedy_3_perc
recall_top5,0.08211417496204301,1.0,preds_labels_comedy_3_perc
roc_auc_top5,,0.5057142857142858,preds_labels_comedy_3_perc
average_precision_top5,,0.26097960104057666,preds_labels_comedy_3_perc
f1,0.006999193690717001,0.4516075708736259,preds_labels_comedy_model_on_sports_vids_30_perc
accuracy,0.9990354776382441,0.7098947368421052,preds_labels_comedy_model_on_sports_vids_30_perc
precision,0.812851905822753,0.32783882783882784,preds_labels_comedy_model_on_sports_vids_30_perc
recall,8.942699059844018e-05,1.0,preds_labels_comedy_model_on_sports_vids_30_perc
kappa,0.37007477879524203,0.05319220462382235,preds_labels_comedy_model_on_sports_vids_30_perc
roc_auc,,0.5354130706485547,preds_labels_comedy_model_on_sports_vids_30_perc
average_precision,,0.30968364571121065,preds_labels_comedy_model_on_sports_vids_30_perc
accuracy_top5,0.8182524442672731,0.28421052631578947,preds_labels_comedy_model_on_sports_vids_30_perc
f1_top5,0.8182524442672731,0.4426229508196721,preds_labels_comedy_model_on_sports_vids_30_perc
kappa_top5,0.8182524442672731,0.0,preds_labels_comedy_model_on_sports_vids_30_perc
precision_top5,0.8182524442672731,0.28421052631578947,preds_labels_comedy_model_on_sports_vids_30_perc
recall_top5,0.8182524442672731,1.0,preds_labels_comedy_model_on_sports_vids_30_perc
roc_auc_top5,,0.4417211328976035,preds_labels_comedy_model_on_sports_vids_30_perc
average_precision_top5,,0.2543760034469107,preds_labels_comedy_model_on_sports_vids_30_perc
f1,0.014648230746388002,0.4503196820459651,preds_labels_common_model_balanced_comedy_vids_30_perc
accuracy,0.9701518416404721,0.7104444444444444,preds_labels_common_model_balanced_comedy_vids_30_perc
precision,0.9701518416404721,0.75,preds_labels_common_model_balanced_comedy_vids_30_perc
recall,0.002699160249903,1.0,preds_labels_common_model_balanced_comedy_vids_30_perc
kappa,0.482543289661407,0.037241784507738296,preds_labels_common_model_balanced_comedy_vids_30_perc
roc_auc,,0.5062591813117958,preds_labels_common_model_balanced_comedy_vids_30_perc
average_precision,,0.3077199699100127,preds_labels_common_model_balanced_comedy_vids_30_perc
accuracy_top5,0.601340651512146,0.6222222222222222,preds_labels_common_model_balanced_comedy_vids_30_perc
f1_top5,0.601340651512146,0.7671232876712328,preds_labels_common_model_balanced_comedy_vids_30_perc
kappa_top5,0.601340651512146,0.0,preds_labels_common_model_balanced_comedy_vids_30_perc
precision_top5,0.601340651512146,0.6222222222222222,preds_labels_common_model_balanced_comedy_vids_30_perc
recall_top5,0.601340651512146,1.0,preds_labels_common_model_balanced_comedy_vids_30_perc
roc_auc_top5,,0.5819327731092436,preds_labels_common_model_balanced_comedy_vids_30_perc
average_precision_top5,,0.6723336929538526,preds_labels_common_model_balanced_comedy_vids_30_perc
f1,0.05292721465229901,0.45448838669177655,preds_labels_common_model_balanced_sports_vids_30_perc
accuracy,0.862087845802307,0.7136363636363636,preds_labels_common_model_balanced_sports_vids_30_perc
precision,0.968796372413635,1.0,preds_labels_common_model_balanced_sports_vids_30_perc
recall,0.0005069356411690001,1.0,preds_labels_common_model_balanced_sports_vids_30_perc
kappa,0.27417978644371,0.09302487416010075,preds_labels_common_model_balanced_sports_vids_30_perc
roc_auc,,0.568883715516238,preds_labels_common_model_balanced_sports_vids_30_perc
average_precision,,0.35887733199586835,preds_labels_common_model_balanced_sports_vids_30_perc
accuracy_top5,0.7877959012985231,0.5636363636363636,preds_labels_common_model_balanced_sports_vids_30_perc
f1_top5,0.7877959012985231,0.7209302325581395,preds_labels_common_model_balanced_sports_vids_30_perc
kappa_top5,0.7877959012985231,0.0,preds_labels_common_model_balanced_sports_vids_30_perc
precision_top5,0.7877959012985231,0.5636363636363636,preds_labels_common_model_balanced_sports_vids_30_perc
recall_top5,0.7877959012985231,1.0,preds_labels_common_model_balanced_sports_vids_30_perc
roc_auc_top5,,0.685483870967742,preds_labels_common_model_balanced_sports_vids_30_perc
average_precision_top5,,0.7759475880194129,preds_labels_common_model_balanced_sports_vids_30_perc
f1,0.15495526790618802,0.4640246248557137,preds_labels_common_model_comedy_vids_30_perc
accuracy,0.9507258534431451,0.7108888888888889,preds_labels_common_model_comedy_vids_30_perc
precision,0.9822952747344971,1.0,preds_labels_common_model_comedy_vids_30_perc
recall,0.00103089690674,1.0,preds_labels_common_model_comedy_vids_30_perc
kappa,0.374867558479309,0.104258033278397,preds_labels_common_model_comedy_vids_30_perc
roc_auc,,0.5729531895502431,preds_labels_common_model_comedy_vids_30_perc
average_precision,,0.3399338581298548,preds_labels_common_model_comedy_vids_30_perc
accuracy_top5,0.738390862941741,0.5333333333333333,preds_labels_common_model_comedy_vids_30_perc
f1_top5,0.738390862941741,0.6956521739130435,preds_labels_common_model_comedy_vids_30_perc
kappa_top5,0.738390862941741,0.0,preds_labels_common_model_comedy_vids_30_perc
precision_top5,0.738390862941741,0.5333333333333333,preds_labels_common_model_comedy_vids_30_perc
recall_top5,0.738390862941741,1.0,preds_labels_common_model_comedy_vids_30_perc
roc_auc_top5,,0.4920634920634921,preds_labels_common_model_comedy_vids_30_perc
average_precision_top5,,0.5710069293115337,preds_labels_common_model_comedy_vids_30_perc
f1,0.044189445674419,0.45412496846354383,preds_labels_common_model_sport_vids_30_perc
accuracy,0.916847050189971,0.7133684210526315,preds_labels_common_model_sport_vids_30_perc
precision,0.9905656576156611,1.0,preds_labels_common_model_sport_vids_30_perc
recall,0.00048050374607500003,1.0,preds_labels_common_model_sport_vids_30_perc
kappa,0.41585698723793,0.10473750666660586,preds_labels_common_model_sport_vids_30_perc
roc_auc,,0.5750711355726296,preds_labels_common_model_sport_vids_30_perc
average_precision,,0.3581975442068806,preds_labels_common_model_sport_vids_30_perc
accuracy_top5,0.776871979236602,0.5157894736842106,preds_labels_common_model_sport_vids_30_perc
f1_top5,0.776871979236602,0.6805555555555556,preds_labels_common_model_sport_vids_30_perc
kappa_top5,0.776871979236602,0.0,preds_labels_common_model_sport_vids_30_perc
precision_top5,0.776871979236602,0.5157894736842106,preds_labels_common_model_sport_vids_30_perc
recall_top5,0.776871979236602,1.0,preds_labels_common_model_sport_vids_30_perc
roc_auc_top5,,0.6233362910381544,preds_labels_common_model_sport_vids_30_perc
average_precision_top5,,0.6560740379797992,preds_labels_common_model_sport_vids_30_perc
f1,0.002081302227452,0.4512891503720367,preds_labels_sports_model_on_comedy_vids_30_perc
accuracy,0.9848602414131161,0.71,preds_labels_sports_model_on_comedy_vids_30_perc
precision,0.9848602414131161,0.5,preds_labels_sports_model_on_comedy_vids_30_perc
recall,3.3413580240448944e-05,1.0,preds_labels_sports_model_on_comedy_vids_30_perc
kappa,0.522155702114105,0.044984042617738695,preds_labels_sports_model_on_comedy_vids_30_perc
roc_auc,,0.5249305967777718,preds_labels_sports_model_on_comedy_vids_30_perc
average_precision,,0.3138017367012469,preds_labels_sports_model_on_comedy_vids_30_perc
accuracy_top5,0.8052600622177121,0.35555555555555557,preds_labels_sports_model_on_comedy_vids_30_perc
f1_top5,0.8052600622177121,0.5245901639344263,preds_labels_sports_model_on_comedy_vids_30_perc
kappa_top5,0.8052600622177121,0.0,preds_labels_sports_model_on_comedy_vids_30_perc
precision_top5,0.8052600622177121,0.35555555555555557,preds_labels_sports_model_on_comedy_vids_30_perc
recall_top5,0.8052600622177121,1.0,preds_labels_sports_model_on_comedy_vids_30_perc
roc_auc_top5,,0.45905172413793105,preds_labels_sports_model_on_comedy_vids_30_perc
average_precision_top5,,0.3597857416958991,preds_labels_sports_model_on_comedy_vids_30_perc
